symbol,name,marketCap,sector,industry,country
AR,Antero Resources Corporation Common Stock,10960200350.0,Energy,Oil & Gas Production,United States
ARCB,ArcBest Corporation Common Stock,2929815482.0,Industrials,Trucking Freight/Courier Services,United States
ARCC,Ares Capital Corporation Common Stock,13750137482.0,Finance,Finance: Consumer Services,United States
ARE,Alexandria Real Estate Equities Inc. Common Stock,9036478980.0,Real Estate,Real Estate Investment Trusts,United States
ARES,Ares Management Corporation Class A Common Stock,40122077779.0,Finance,Investment Managers,United States
ARIS,Aris Mining Corporation Common Shares,3898896000.0,,,
ARMK,Aramark Common Stock,14702368704.0,Consumer Discretionary,Restaurants,United States
AROC,Archrock Inc. Common Stock,5407429625.0,Utilities,Natural Gas Distribution,United States
ARQT,Arcutis Biotherapeutics Inc. Common Stock,3315753931.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
ARR,ARMOUR Residential REIT Inc.,2439622011.0,Real Estate,Real Estate Investment Trusts,United States
ARW,Arrow Electronics Inc. Common Stock,11546368045.0,Technology,Electronic Components,United States
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,9458399110.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
ARX,Accelerant Holdings Class A Common Shares,4282958245.0,Finance,Specialty Insurers,Cayman Islands
ARXS,Arxis Inc. Class A Common Stock,21357988769.0,Industrials,Military/Government/Technical,United States
AS,Amer Sports Inc. Ordinary Shares,15001252710.0,Consumer Discretionary,Apparel,
ASAN,Asana Inc. Class A Common Stock,2168347008.0,Technology,Computer Software: Prepackaged Software,United States
ASB,Associated Banc-Corp Common Stock,5416208220.0,Finance,Major Banks,United States
ASH,Ashland Inc. Common Stock,3160200464.0,Consumer Discretionary,Specialty Chemicals,United States
ASML,ASML Holding N.V. New York Registry Shares,672403512536.0,Technology,Industrial Machinery/Components,Netherlands
ASND,Ascendis Pharma A/S Ordinary Share,14653679859.0,Health Care,Biotechnology: Pharmaceutical Preparations,Denmark
ASO,Academy Sports and Outdoors Inc. Common Stock,2974876224.0,Consumer Discretionary,Other Specialty Stores,United States
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,7184700000.0,Consumer Discretionary,Aerospace,Mexico
ASST,Strive Inc. Class A Common Stock,2812106795.0,Finance,Finance: Consumer Services,United States
ASTS,AST SpaceMobile Inc. Class A Common Stock,23342266290.0,Consumer Discretionary,Telecommunications Equipment,United States
ATI,ATI Inc. Common Stock,25079861141.0,Industrials,Steel/Iron Ore,United States
ATKR,Atkore Inc. Common Stock,3191843701.0,Miscellaneous,Industrial Machinery/Components,United States
ATMU,Atmus Filtration Technologies Inc. Common Stock,3666902983.0,Consumer Discretionary,Auto Parts:O.E.M.,United States
ATO,Atmos Energy Corporation Common Stock,26402771521.0,Utilities,Oil/Gas Transmission,United States
ATR,AptarGroup Inc. Common Stock,7931110031.0,Industrials,Plastic Products,United States
ATRC,AtriCure Inc. Common Stock,3049688657.0,Health Care,Medical/Dental Instruments,United States
ATRO,Astronics Corporation Common Stock,2973646685.0,Industrials,Military/Government/Technical,United States
AU,AngloGold Ashanti PLC Ordinary Shares,49939656337.0,Basic Materials,Precious Metals,South Africa
AUB,Atlantic Union Bankshares Corporation Common Stock,5462669772.0,Finance,Major Banks,United States
AUGO,Aura Minerals Inc. Common Shares,7150572291.0,Basic Materials,Metal Mining,United States
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,2182039155.0,Health Care,Biotechnology: Pharmaceutical Preparations,Canada
AUR,Aurora Innovation Inc. Class A Common Stock,12666261294.0,Technology,EDP Services,United States
AVA,Avista Corporation Common Stock,2969037824.0,Utilities,Power Generation,United States
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,2791029912.0,Health Care,Medical/Nursing Services,United States
AVAV,AeroVironment Inc. Common Stock,7924980270.0,Industrials,Aerospace,United States
AVGO,Broadcom Inc. Common Stock,1694590865776.0,Technology,Semiconductors,United States
AVNT,Avient Corporation Common Stock,3757749964.0,Industrials,Major Chemicals,United States
AVPT,AvePoint Inc. Class A Common Stock,2775738389.0,Technology,Computer Software: Prepackaged Software,United States
AVT,Avnet Inc. Common Stock,8301681826.0,Technology,Electronic Components,United States
AVTR,Avantor Inc. Common Stock,9983056478.0,Industrials,Biotechnology: Laboratory Analytical Instruments,United States
AVY,Avery Dennison Corporation Common Stock,13085580598.0,Consumer Discretionary,Containers/Packaging,United States
AWI,Armstrong World Industries Inc Common Stock,6929835579.0,Industrials,Plastic Products,United States
AWK,American Water Works Company Inc. Common Stock,26442879276.0,Utilities,Water Supply,United States
AWR,American States Water Company Common Stock,3299269508.0,Utilities,Water Supply,United States
AX,Axos Financial Inc. Common Stock,4970539508.0,Finance,Savings Institutions,United States
AXGN,Axogen Inc. Common Stock,2541649943.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,United States
AXON,Axon Enterprise Inc. Common Stock,36606391573.0,Industrials,Ordnance And Accessories,United States
AXP,American Express Company Common Stock,203916557173.0,Finance,Finance: Consumer Services,United States
AXS,Axis Capital Holdings Limited Common Stock,6954419673.0,Finance,Property-Casualty Insurers,Bermuda
AXSM,Axsome Therapeutics Inc. Common Stock,10133069242.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
AXTA,Axalta Coating Systems Ltd. Common Shares,6940668503.0,Consumer Discretionary,Paints/Coatings,United States
AXTI,AXT Inc Common Stock,4785533012.0,Technology,Semiconductors,United States
AYA,Aya Gold & Silver Inc. Common Shares,4060379576.0,Basic Materials,Precious Metals,Canada
AYI,Acuity Inc. Common Stock,9162073515.0,Consumer Discretionary,Building Products,United States
AZN,AstraZeneca PLC Ordinary Shares,253280056184.0,Health Care,Biotechnology: Pharmaceutical Preparations,United Kingdom
AZO,AutoZone Inc. Common Stock,46418534886.0,Consumer Discretionary,Auto & Home Supply Stores,United States
AZZ,AZZ Inc.,4141096838.0,Industrials,Industrial Specialties,United States
B,Barrick Mining Corporation Common Shares,69933628963.0,Basic Materials,Precious Metals,Canada
BA,Boeing Company (The) Common Stock,158018678099.0,Industrials,Aerospace,United States
BAC,Bank of America Corporation Common Stock,391593908440.0,Finance,Major Banks,United States
BAH,Booz Allen Hamilton Holding Corporation Common Stock,9099558207.0,Consumer Discretionary,Professional Services,United States
BALL,Ball Corporation Common Stock,15569851459.0,Industrials,Containers/Packaging,United States
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,72290947435.0,Real Estate,Building operators,
BANC,Banc of California Inc. Common Stock,2798883374.0,Finance,Major Banks,United States
BANF,BancFirst Corporation Common Stock,3594393740.0,Finance,Major Banks,United States
BANR,Banner Corporation Common Stock,2494048859.0,Finance,Major Banks,United States
BAP,Credicorp Ltd. Common Stock,36373057325.0,Finance,Commercial Banks,Peru
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,3727513137.0,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,3421432268.0,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States
BAX,Baxter International Inc. Common Stock,12144236017.0,Health Care,Medical/Dental Instruments,United States
BB,BlackBerry Limited Common Stock,4911194591.0,Technology,Computer Software: Prepackaged Software,Canada
BBAR,Banco BBVA Argentina S.A. ADS,2791915593.0,Finance,Commercial Banks,Argentina
BBIO,BridgeBio Pharma Inc. Common Stock,12845481917.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
BBT,Beacon Financial Corporation Common stock,2339306960.0,Finance,Banks,United States
BBUC,Brookfield Business Corporation Class A Subordinate Voting Shares,5307687000.0,Consumer Discretionary,Engineering & Construction,
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,160364930783.0,Finance,Commercial Banks,Spain
BBWI,Bath & Body Works Inc.,3432003227.0,Consumer Discretionary,Other Specialty Stores,United States
BBY,Best Buy Co. Inc. Common Stock,19043274978.0,Consumer Discretionary,Consumer Electronics/Video Chains,United States
BC,Brunswick Corporation Common Stock,4291533656.0,Industrials,Industrial Machinery/Components,United States
BCC,Boise Cascade L.L.C. Common Stock,2713151454.0,Consumer Discretionary,RETAIL: Building Materials,United States
BCE,BCE Inc. Common Stock,20151882905.0,Telecommunications,Telecommunications Equipment,Canada
BCH,Banco De Chile ADS,21112569971.0,Finance,Commercial Banks,Chile
BCO,Brinks Company (The) Common Stock,4323263985.0,Industrials,Integrated Freight & Logistics,United States
BCPC,Balchem Corporation Common Stock,5363158253.0,Industrials,Major Chemicals,United States
